content,date,index,title,writer
개념강의 다듣고 문제풀고 풀이듣나요 개념듣고 필수예제 듣고 엑서사이즈 풀고 풀이듣나요 다 듣고 문제 다시 풀어보나요,2018.08.03. 15:48,20182383,한석원 생질 공부할때,인서울가재이
두 선생님 차이많이날까요??,2018.08.03. 10:52,20181568,나형 현우진 뉴런->한석원 크포 힘들까요?,용준아사랑해
한석원t생각의질서vs현우진t시발점     삼각함수부터 들을거고 쎈이랑 병행할건데요 둘 다 맛보기들었을때 거슬리거나 그런거없이 두 분 다 괜찮으셔서 너무고민돼용ㅜㅜ    그리고 제가 앞부분은 배운 상태로 맛보기를 들어서 그런지 누가 더 이해가 잘 되나 이걸 모르겠더라구요  참고로 지금까지 수학공부는 그냥 동네학원에서 개념 한번 돌리고 교과서 쎈프린터위주로 내신시험대비만 했어용  ,2018.08.02. 23:15,20179783,미적2 개념강의 한석원vs현우진,공부하자20
                      제곧내 어떻습니까        ================================,2018.08.02. 22:47,20179586,1학년 중에 한석원 생질 듣는 분 계신가요?,Buddle
대성 프패 끊고 이창무 한석원 섞어 듣는 게 나을까요 아님 현우진 하나 듣는 게 나을까요? 원래 현우진 듣고 싶었는 데 젤 중요한 미2가 별로라고 해서 다시 고민하네요                           ================================,2018.08.02. 22:24,20179422,이창무+한석원vs현우진,중대공대가즈아
뉴런 미적2회독+확통1회독하고 9월들어가면 크포들을라하는데괜찮을까요? 등급은 3월이후 다1등급입니다,2018.08.02. 21:43,20179212,문과 현우진 뉴런->한석원 크포 괜찮을까요?,용준아사랑해
"개념강의 넘기면 안되요?? 그리고 막 3번씩 돌려보라고하는건 문재를 돌려보란거에여 강의를 돌려보란거에요? 그리고 엑써싸이즈, 수능문제 풀고 틀린거만 인강들어요 , 아님 다 들어요?? ",2018.07.30. 18:22,20164679,한석원알텍듣는분들,내밥그릇내가해
                  제가 작년 수능이후로 공부안하다가 6월말에 시작했는데 인강들을거면 알파테크닉 들어도 상관없나요? 알파테크닉에서도 개념 다설명해주겠죠? 생각과질서인가 그건 어떤가요? 작년 수능76점 올해7월81점 근데7월은 범위가 다안들어가서 나쁘지않게본듯요.. 뒷부분이 좀취약해서..ㅠㅠ            ================================,2018.07.28. 00:03,20153484,한석원 알파테크닉 듣는분들,이렇지않을까
"올해 알파테크닉 미적2에 있는 문제입니다.저 식을 대충 정리하면 이차 방정식이 나오고요, 그 이차 방정식이 항상 0보다 작을 때의 a값의 범위를 구하는 문제입니다.문제는 방정식의 대칭축이 정해져있지 않아(a에 관한 식으로 나와요) 어느 점이 방정식의 최솟값을 가지는지를 알 수 없다는건데요, 대칭축에서 가장 먼 점이 최솟값을 가질테고, sin cos값은 -1부터 1까지밖에 없으니까어차피 1 아니면 -1이 최솟값을 가지겠죠.그래서 저는 그 방정식에 1과 -1을 둘 다 때려박아서 조건을 만족하는 공통 범위를 구해 답을 구했습니다. 답도 맞았고요.그런데 방금 한석원 선생님 해설강의를 보니까, 대칭축의 위치가 -1보다 작을 때, -1과 1 사이에 있을 때, 1보다 클 때의 세 가지 경우로 나눠서 푸시더라고요. 제가 봤을 땐 경우를 나누지 않아도 문제가 없알 것 같은데, 혹시 꼭 경우를 나눠야하는 이유가 있나요? ================================ [필독] 답변 받은 후 질문글 무단 삭제시 강퇴처리가 됩니다 :  [필독] 비매너회원과 다투지 마시고, 게시판 중 가장 첫번째에 있는 '신고게시판'에 올려주시면 강퇴처리해 드립니다.# 수학 90점 이하 추천교재 #인강과 함께 보기 좋은 개념총정리용 수학교재 : ",2018.07.26. 22:42,20148773,꼭 한석원 선생님처럼 풀어야하나요?,4ae
현우진 : 드립치면 웃김한석원 : 그냥 보고만 있어도웃김엌ㅋㅋㅋㄱㅋㄲ 안뇽하십니깐석원입니당 오늘은..  함섹펙스를 ,2018.07.26. 21:46,20148449,현우진<<<<한석원인 이유 fact.,연카의
