content,date,index,writer
 난 ㅁ누과 ,2009.05.01. 23:48,3765255,돈스탑
 저는 신승범 선생님꺼 듣는데요 제가 수2 신승범 선생님꺼 팔께요 ! 제가 나형으로 돌리는 바람에 수2가 무용지물됐어요 !!!!  ,2009.05.03. 21:06,3765134,kimsuno_o
 ㅈㅅ 박금우 t 로 결정.. ,2009.05.13. 21:21,3765134,해피바이러스
 기본 금우쌤 ,2009.05.05. 03:43,3765134,nada0125
 네....금우쌤 듣고있음!^^ ,2009.05.13. 21:22,3765134,해피바이러스
 그렇게 시간 투자 하셔서 제대로 푸셨다면 님 실력 업그레이드 되는겁니다저렇게 해야되는거아닌가 ㅋㅋㅋ ,2009.05.02. 00:32,3765106,스노
 그게 참 애매하단말이죠 안풀리고 풀엇는데 성적안오르고하면 시간낭비이고 오르면 이건 옳은 교육방식이고. ,2009.05.02. 02:23,3765106,미아니
 너무 많은 문제를 그렇게 잡고 풀면 안 되겠지만 적당히 몇분제 정도는 오히려 도움이 많이될꺼에요 ,2009.05.02. 12:27,3765106,뫼비우스
 음..그런식으로 하다보면 실력이 점점 쌓이면서 시간이 더 지나면 시간이 단축되지않을까용? 모르겠다고 걍넘어가는것보다 혼자 머리싸매구 파는게 실력향상엔 더더도움될꺼라고 생각해용!   ,2009.05.02. 13:42,3765106,백설공주
 개념안되있는데 알텍들으면 너무 비효율적이에요 개념공부부터해야할듯.문제푸는데 30분이상걸린다면 개념이해가안되있을경우가높아요..30분 이상잡고푸는건 시간낭비라고생각됨..개념이된상태면몰라도.. ,2009.05.02. 22:34,3765106,same_here
 삽자루 ,2009.05.01. 23:06,3765045,로또복권
 왜 추천하는지 이유도 좀 얘기해주지;; ,2009.05.01. 23:08,3765045,가우리
 한석원  ,2009.05.01. 23:04,3765035,1조빼기500원인생
 들어봤음? ,2009.05.01. 23:15,3765035,해피바이러스
 들어봤는데 그냥 신기함 어떻게 그렇게 푸나  ,2009.05.01. 23:25,3765035,1조빼기500원인생
 2222 ,2009.05.01. 23:04,3765035,슬아
 이건 뭔뜻? ,2009.05.01. 23:14,3765035,해피바이러스
 박금우쌤도좋음 ,2009.05.01. 23:04,3765035,슬아
 들어봤음????!! 디엠? 매트릭스? ,2009.05.01. 23:15,3765035,해피바이러스
 삭제된 댓글입니다. ,,3765035,
 금우쌤 수2 괜찮아요?? 수1강의는 좋다고 많이 봤는데 수2에 대한 글이 없어서요..ㅠㅠ ,2009.05.01. 23:18,3765035,해피바이러스
 한석원도 수2의 본좌라고 불릴만큼 유명하셔요^^ 저는 박금우T듣지만..ㅋㅋ 박금우T좋은데~저는 수1  수2  다 금우T껄로..~ 걍 안갈아타고 수능까지 고고씽하려구요~ ,2009.05.01. 23:21,3765035,수학천재님
 혹시 한석원쌤꺼는 안들어보셨는지..ㅠㅠ 한석원쌤 들어보신분은 안계신가?? ,2009.05.01. 23:22,3765035,해피바이러스
 전수1인데 한석원쌤듣는데 좋음 ㅋ 이해시켜줘서 머리가좀트인기분 다른인강쌤들은 기출문제풀이만들어봤는데 확실히 진짜개념적으로 가르쳐줌 석원쌤이 ,2009.05.02. 00:45,3765035,이기호발
 1등급아슬아슬부터 듣는거같음 ,2009.05.01. 22:55,3764984,벤자민프랭클린
 아슬아슬부터 밑으로? 아니면 그 위로? ,2009.05.01. 22:55,3764984,가우리
 절지는 한시간에 3문제 풀각오하고 ,2009.05.01. 22:55,3764984,윈윈
 아 ..내가 연산 ㅄ이라서 아닐수도 ㅇㅇ ,2009.05.01. 22:55,3764984,윈윈
 헐 절지 글케어려움? 집에 절지책있는데  ,2009.05.01. 22:55,3764984,1조빼기500원인생
 2등급 고정인데.. 어려울까? ,2009.05.01. 22:55,3764984,레이븐
" 70중,후반/? ",2009.05.01. 22:58,3764984,멋진SNU오랑이
 헐.. 훑는다고여? 다시풀음 ,2009.05.01. 22:52,3764968,버프
 난 알텍이랑 절지 주기적으로 푸는데 ,2009.05.01. 22:52,3764968,윈윈
 ㅇㅇㅇ 특히 틀린건 매주 반복 ,2009.05.01. 22:52,3764968,윈윈
 눈으로 훑으면 그게 복습인가여 ,2009.05.01. 22:52,3764968,벤자민프랭클린
 날카롭게지적 ㄳㄳㅋ ,2009.05.01. 22:53,3764968,섿
 난수리는복습이 안꼴려서 그냥 고쟁이나 풂 빠박이는 수능발전풀고 나서 해설 듣고 끝 ,2009.05.01. 22:53,3764968,수에르테
 수능발전 미리뽑아놓고 해설듣는거져??ㅋ ,2009.05.01. 22:55,3764968,섿
 깜짝이야 알텍 공짜로 풀리는지 알았네 ㄷㄷㄷㄷㄷㄷㄷㄷ ,2009.05.01. 20:35,3764496,윈윈
 강남구청이면 공짜나 ...다름없지 안나요 ,2009.05.01. 20:36,3764496,춘배
" 가형인가요, 나형인가요? ",2009.05.01. 19:54,3764352,비샤
 나형이요 ㅠㅠ ,2009.05.01. 20:21,3764352,덕키
 나형이면 박금우샘꺼 커리 타세요 아니면.. 곽기호샘도 좋고..용 ,2009.05.02. 23:42,3764352,조디악파티
" 저도 고민중인데..ㅠㅠ  저는 박금우T 매트릭스랑 한석원T 알텍중 고민해요... 근데 수1수2미적 다 듣기 너무 벅찰거 같고,,걍 수1은 혼자하고 수2부터 들을라구요~ ",2009.05.01. 23:17,3763070,해피바이러스
 고3이시라면 시간의 부족을 많이 느끼시겟네요...ㅠ우선 수리에 투자하는 시간이 많아야 된다는 것은 부정할 수 업는사실이네요... 이과생이 치는 수리 가형의 경우 그 범위가 정말 너무나넓어서 엄청난 시간을 투자해야 하니까요...그리구 개념을 위해서 이비에스 개념 강의를 듣는 게 괜찬아 보이기는하는데 400강정도의 강의는 너무나 많게 느껴지네요...ㅠㅠ모 자투리 시간을 거기에 투자해서 효율을 볼수 잇다면 괜찬켓지만다른 공부를 해야될 시간을 거기에 투자함에 따라 문제가 생길수두 잇어보여서요.... 그냥 자신이 부족한 부분을 집중적으로 들어보는 건 어떨까요?특히나 수2나 미적에서요...아 그리고 답지를 안보는 습관에 대해서는 나쁘지는 않지만 답지에서 얻을수 잇는 부분도 작지 않아서요.... 답지를 통해 풀이를 단순히 읽는게 아니라풀이를 이해할수 잇다면 괜찬은 방법이에요 ,2009.05.04. 00:57,3763070,ssㅏ가지
 삽삽삽삽자루 ,2009.04.30. 22:12,3762157,리안
" 나는 인강은 안듣는데;; 삽자루 선생님이 꽤나 유명한지, 저 선생님 이름은 알고 있음 ㅇㅇ인지도로 보아서는 삽자루 ㄱㄱ ",2009.04.30. 22:39,3762157,유
