content,date,index,writer
 저는 다 듣고 다시 풀어봐요! ,2018.08.03. 16:00,20182383,dnwlsl
 문제 접근방식이 조금 다르긴한데1-2등급이면 괜찮아요. ,2018.08.03. 12:13,20181568,두 더지
 한석원이요!! ,2018.08.02. 23:18,20179783,12139
 감사합니다!! ,2018.08.03. 18:05,20179783,공부하자20
 파이팅 ,2018.08.03. 00:16,20179783,안녕안녕33
 미2 좋은데 ,2018.08.02. 22:28,20179422,한양대 ㄱㄷ
 친구가 다 들어봤는 데 현우진 미2가 약간 두리뭉실하게 가르친다고 해서.. ,2018.08.02. 22:49,20179422,중대공대가즈아
 한석원 이과 프리패스 완전양도로 팝니다010-이오00-삼구62 ,2018.08.03. 14:05,20179422,도개밍
 현우진 들었으면 드릴 ㄱㄱ ,2018.08.02. 21:47,20179212,공부의 미학
 대성패스를 사버려서.. ,2018.08.02. 21:49,20179212,용준아사랑해
" 알텍으로 가능하다고 생각함본인 부족한 부분은 좀더 집요하게 공부하는걸로하고, 알텍 ㄱㄱ지금 생각의질서부터 하기엔.. ",2018.07.28. 00:12,20153484,클루
 좋은생각인듯 ,2018.07.30. 23:02,20153484,이렇지않을까
 님말대로 안나눠도 상관 없습니다 경우를 나눠야 하는 경우는 최고차항을 양수로 맞췄는데 0보다 크다고 할 경우죠 ,2018.07.26. 23:04,20148773,Tim3
" 역시 그렇죠..?-1을 넣었을 때의 범위가 1을 넣었을 때의 범위에 포함되어서, 혹시 우연히 맞은건가 헷갈렸네요 ㅋㅋㅋ답변 감사합니다. ",2018.07.26. 23:17,20148773,4ae
4ae 헷갈리시면 그냥 반례 있나 대충 막 그려보시면 됩니다 뭐 2차함수가 그리기 어려운 것도 아니니... ,2018.07.26. 23:18,20148773,Tim3
 석원찡ㅋㅋㅋㅋㅋㅋ ,2018.07.26. 21:47,20148449,registered
 미친 짤ㅋㅋㅋㅋㅋㅋ ,2018.07.26. 21:47,20148449,지치는3년 행복한평생
    ,2018.07.26. 21:48,20148449,2019고대생
 물먹다뿜을뻔ㅋㅋㅋㅋ ,2018.07.26. 21:51,20148449,곰의신
 수학 3점 백문제4점 백문제모의고사 10회이걸 매일 한다! ,2018.07.26. 22:25,20148449,0쩜018
 빡쌤 피셜임 ...? ,2018.07.26. 22:20,20148449,두근두근설의설의
 아 빡t 개조아요 ♡♡ ,2018.07.26. 22:27,20148449,왼쪽발목
 알텍은 금방 끝나요 ,2018.07.25. 23:49,20144472,타코비
 알텍강의 되게많던데.ㅠㅠㅠ ,2018.07.29. 00:17,20144472,이렇지않을까
 최소 3회독은 해야 빛을본다 생각합니다 깐석원은 ,2018.07.29. 04:10,20144472,Nlk0012
 개념인강 다들어야해요??  생질에서 들은거라 뭔가 지루해서 넘기고싶은데ㅜㅜ ,2018.07.29. 14:33,20144472,내밥그릇내가해
