index,count,name,date,story
1,40,대성마이맥,2018년 7월 25일 수요일 오후 5:58,"한석원쌤의 폭염을 이길 전력 수급 영상 - ""여러분 전력을 다하세요!"""
2,43,수능의 기술,2017년 3월 24일 금요일 오후 5:26,
3,14,대학탐방,2017년 3월 25일 토요일 오후 10:30,"대성마이맥,한석원,확률과통계"
4,22,대한민국 고2 대나무숲,2018-01-5 오후 02:35,대한민국 고2 대나무숲 #사연2982 처음으로 인강을 들어보려고 하는데 메가 현우진 조정식 대성 한석원 이명학 중에 어디를 골라야할까여
5,23,현대고 대신 전해드립니다,2018-05-14 오후 10:05,수학 인강에 한석원 vs 현우진 누가 낫나요?
6,45,대치동 대신 전해드립니다,2017-05-14 오후 06:42,#익명제보 이과 1타 이렇게 되는거 맞나요? 국어 인강: 박광일 현강: 김동욱 강민철 수학 인강: 현우진 한석원 현강: 현우진 이창무 영어 인강: 이명학 현강: 이민규 생1 인강: 백호 현강: 한종철 지1 인강: 오지훈 현강: 엄영대
7,22,대성마이맥,2018년 6월 12일 화요일 오후 8:30,"한석원 선생님 - 2019학년도 6평, 수학 가형 21번 해설강의"
8,5,대성마이맥,2018년 7월 1일 일요일 오전 11:56,2018년 6평 한석원 선생님 수학 해설강의 - 가형 30번
9,6,대성마이맥,2018년 7월 1일 일요일 오전 11:56,2018년 6평 한석원 선생님 수학 해설강의 - 가형 30번
10,11,대성마이맥,2017년 9월 7일 목요일 오후 5:14,대성마이맥_수학_한석원_9평해설_가형
11,13,송상원,2013-02-12 오후 04:27,수학 인강 한석원 어떤지 들어본사람 얘기줌해줘! 좋은거 추천도 받고! 구체적일수록 좋아. 한석원!
12,3,노영상,2012-06-7 오후 08:42,"권주현이 수학 존나 못보고 revert 했듯이  오늘이 나의 터닝포인트다 한석원 강좌  벡터 끝내고 약한 파트 (적분, 이차곡선 ) 등등  보강해야겠다 그리고 시험때 문제 처음보는 유형갖고 뱅뱅 안돌게 유형끼리 싸잡아서 존내 조져야겠다"
13,8,조성민,2012-12-2 오후 10:01,"지금은 강남인강의 ""수학의 정석 수학2/기하와 벡터/적분과 통계""(이과수학)를 듣고 문제를 풀어보고 있습니다.  하지만,  언젠가는 김찬휘 선생님의 절친이신 한석원 선생님의 명강의를 들어보고 싶군요.  2002년인가, 2003년인가에 ebs가 무료강의를 할때 초기에 한석원 선생님이 나오셔서 '난제'를 풀이해주실때, 그 유쾌함. 천진난만함, 희열감을 다시 한번 느껴 보고 싶군요^^  -----------------------------  지금은, 중고등학생을 위해 쉽게 쓰여진 장우석 선생님 지음의 ""수학, 철학에 미치다""를 가볍게 읽고 있는 중..."
14,6,김쌤의 학교 다이어리,2014-02-17 오후 11:25,일년간 개인적인 사정으로 관리를 잘 하지 못한 점 미안 합니다. 약속 했던 것과 같이 고등학생 여러분의 고민을 해결하도록 최선을 다 할께요. 직접 질문을 여기에 달아도 좋고 쑥스러운 학생은 쪽지로 보내면 해결책을 같이 찾아 보는 형식으로 할께요. 생각보다 여러분이 하는 고민은 비슷하답니다. 같이 공유하여 해경하면서 힘든 시기 잘 헤쳐나가 봅시다. 선배들도 함께하여 쌤이 해결하지 못한 문제점은 같니 찾아주기 부탁 드려요^^
15,19,대치동 대신 전해드립니다,2017-06-1 오후 01:23,#익명제보 한석원 알텍과 병행 할만한 이과 수학 기출 문제집 추천해주세요 6월 보고 죽고 싶네요..
16,36,대치동 대신 전해드립니다,2017-01-26 오후 12:00,#익명제보 이과기준 이 분들이 갑 아닌가요? 익명 국어: 박광일 김동욱 수학: 한석원 현우진 영어: 이명학 생명: 백호 화학: 정훈구
17,13,대한민국 고2 대나무숲,2017-12-5 오후 08:55,"대한민국 고2 대나무숲 #사연2699 예비고3 이과생인데요! 수학 생1 생2 지1 지2 들을예정인데 어떤인강사이트가나을까요?  그리고 이과 최상위 선배분들께선 수학(국어 영어 생물 지학도 알려주시면감사하겠습니다♡) 현강어느쌤께들으셨는지 추천좀해주세요!! 현우진 권경수 이창무 한석원T 생각해보고있어요,,  익명이요~"
18,12,대한민국 고2 대나무숲,2017-12-28 오후 06:06,"대한민국 고2 대나무숲 #사연2885 인강 추천글이 많이 올라와서 쓰는 글 입니다.  참고 (갯수는 틀린 갯수 입니다) 국어 문법은 이투스 신영균(고3 9월모의고사 2개 - 수능 0개 )  국어 문학은 대성 박광일(고3 9 월 모의고사  4개 -  수능1개)  국어 비문학은 김상훈 박광일 ( 고3 9월 모의고사 1개 - 수능1개)  수학 (제가 탔었던 커리는 확통 신승범, 미적2 한석원, 기벡 한석원) 수학 확통은 이투스 신승범  수학 미적분2는 현우진(메가),한석원(대성),이창무(대성)  수학 기벡은 현우진 영어인강은 이명학거 들었어요.  영어는 이명학(대성), 조정식(메가),전홍철(스카이에듀) 과탐 (제가 탔었던 커리는 물리 배기범, 화학 정훈구, 생물 최정윤, 지학 오지훈  일반고 인데 과탐을 고2 때 4개나 해서) 물리: 배기범(이투스), 정원재(스카이에듀), 김성재(메가) 화학: 백인덕(이투스), 박상현(스카이에듀), 정훈구(대성) 생물: 백호(이투스),  최정윤(스카이에듀) 한종철(메가), 윤도영(대성) 지학: 오지훈(이투스), 최선묵(스카이에듀), 엄영대(메가)"
