index,count,name,date,story,,,,,
3,1,__л°,2017 3 25 __ ¤н_ 10:30,"±л_ґл§Ґ,__,__кіјн_кі",,,,,
4,22,_кµ кі2 _¬ґ,2018-01-5 ¤н_ 02:35,_кµ кі2 _¬ґ #¬м_2982 мІ__јл_ ёк_ ¤м_ліґл_кі __ л©_ __м§ мЎ°м_  __ ґл_ м¤__ ґл_лҐ кіЁл_јн_к№__,,,,,
5,21,_кі  ___¦Ѕ__,2018-05-14 ¤н_ 10:05,__ ёк_ __ vs __м§ _ «л_?,,,,,
6,46,м№__  ___¦Ѕ__,2017-05-14 ¤н_ 06:42,#µл__іґ ґкіј 1 ґл_кІ __к± л§__? кµ_ ёк_: л°__ __: к№__ к°_мІ __ ёк_: __м§ __ __: __м§ ґм°Ѕл¬ __ ёк_: ґл_ __: ґлк· 1 ёк_: л°±н_ __: __мІ м§1 ёк_: ¤м __: __,,,,,
7,24,±л_ґл§Ґ,2018 6 12 __ ¤н_ 8:30,"__ __ - 2019__ 6, __ к° 21лІ ґм_к°__",,,,,
8,5,±л_ґл§Ґ,2018 7 1 јм_ ¤м_ 11:56,2018 6 __ __ __ ґм_к°__ - к° 30лІ,,,,,
10,16,±л_ґл§Ґ,2017 9 12 __ ¤н_ 5:00,±л_ґл§Ґ_______№л,,,,,
11,11,±л_ґл§Ґ,2017 9 7 лЄ©м_ ¤н_ 5:14,±л_ґл§Ґ_______9___к°,,,,,
12,13,Ўм_,2013-02-12 ¤н_ 04:27,__ ёк_ __ ґл_м§ ¤м_ліём_ _ё°м¤__м¤! мў_к± м¶__ л°__! кµ¬мІґ____ мў__. __!,,,,,
13,3,ём_,2012-06-7 ¤н_ 08:42,"к¶_Јј__ __ мЎґл_ лЄ»ліґкі revert __  ¤л_ __ °л_¬м_ёл_ __ к°__  лІЎн_ __кі Ѕн_ __ (__, ґм°ЁкіЎм_ ) ±л_  ліґк_ґм_кІ__ к·ёл¦¬кі __ л¬ём_ мІ__ліґл_ __к°__ л±__ __кІ __јл¦¬ ём___ мЎґл_ мЎ°м_јк_",,,,,
14,8,мЎ°м_лЇ,2012-12-2 ¤н_ 10:01,"м§кё_ к°__ёк_ ""__ __ __2/кё°н_ лІЎн_/__кі µк_""(ґкіј__)лҐ Јк_ л¬ём_лҐ ґліґкі ____.  _л§,  ём_к° к№м°¬н_ ____ __ґм_ __ ____ лЄ___ ¤м_ліґк_ ¶кµ°.  2002__к°, 2003__к° ebsк° л¬ґл_к°__лҐ __ мґ_ё° __ ____ ____ '__'лҐ ґн_мЈјм_, к· __. мІ____, ¬м_к°__ ¤м_ __ _»ґ ліґк_ ¶кµ°^^  -----------------------------  м§кё_, м¤__±н___ __ Ѕк_ °м_м§ Ґм_ __ м§__ ""__, мІ__ лЇём_""лҐ к°лі__ Ѕк_ __ м¤...",,,,,
15,6,к№¤м_ __ ¤м_ґл¦¬,2014-02-17 ¤н_ 11:25,јл_к° к°____ ¬м_јл_ кґл¦¬л  _ лЄ»н_  лЇём_ ©л_. Ѕм_ __ кІ_іј к°__ кі____ ¬л_л¶__ кі_ ґкІ°__лЎ мµ__  __. м§__ м§_¬ё ¬кё° ¬м_ мў__ Ґм_¬м_ __ мЄЅмлЎ ліґл_л© ґкІ°м±__ к°__ м°ѕм_ ліґл_ __јл_ __. __ліґл_ ¬л_л¶__ __ кі_ л№______. к°__ кіµм___ ґкІЅ_©ґ __ _ё°  ¤м__ лґ__. _°°¤л_ Ёк___ ¤м_ ґкІ°_ лЄ»н_ л¬ём__ к°__ м°ѕм_мЈјкё° л¶ __^^,,,,,
16,21,м№__  ___¦Ѕ__,2017-06-1 ¤н_ 01:23,#µл__іґ __ __кі лі__ __ ґкіј __ кё°м_ л¬ём_м§ м¶__ґмЈјём_ 6 ліґк_ мЈЅк_ ¶л_..,,,,,
17,37,м№__  ___¦Ѕ__,2017-01-26 ¤н_ 12:00,#µл__іґ ґкіјкё°м  л¶__ к° __к°? µл_ кµ_: л°__ к№__ __: __ __м§ __: ґл_ __: л°±н_ __: __кµ,,,,,
18,13,_кµ кі2 _¬ґ,2017-12-5 ¤н_ 08:55,"_кµ кі2 _¬ґ #¬м_2699 __кі3 ґкіј__°м_! __ 1 2 м§1 м§2 ¤м___ёл_ ґл_ёк_¬м_ёк__к№__?  к·ёл¦¬кі ґкіј мµ__ _°°л¶__к»__ __(кµ_ __ _¬ј м§__ __мЈјм_л©ґк_¬н_кІ____) __ґл_¤к_¤м_Ёл_м§ м¶__мўґмЈјём_!! __м§ к¶_ІЅ ґм°Ѕл¬ ___ __ґліґкі__ґм_,,  µл_ґм_~",,,,,
19,12,_кµ кі2 _¬ґ,2017-12-28 ¤н_ 06:06,"_кµ кі2 _¬ґ #¬м_2885 ёк_ м¶__кё л§__ ¬л_ °л_ кё __.  м°ёк_ (к°_ л¦ к°_ __) кµ_ л¬ёл_ ґн_ __к·(кі3 9_ЄЁ__ 2к° - __ 0к° )  кµ_ л¬ён_  л°__(кі3 9  лЄЁм_кі__  4к° -  __1к°)  кµ_ л№_¬ё_ к№__ л°__ ( кі3 9 лЄЁм_кі__ 1к° - __1к°)  __ (_ __ м»¤л¦¬ __ __лІ, лЇём_2 __, кё°лІЎ __) __ __ ґн_ __лІ  __ лЇём_л¶2 __м§(л©_),__(),ґм°Ѕл¬()  __ кё°лІЎ __м§ __ёк_ ґл__±° ¤м_ґм_.  __ ґл_(), мЎ°м_(л©_),__мІ(¤м№ґґм_) кіјн_ (_ __ м»¤л¦¬ л¬јл¦¬ л°°кё°лІ, __ __кµ, _¬ј мµ__, м§ ¤м  јл_кі ёл_ кіјн_ кі2  4к°__ ґм_) л¬јл¦¬: л°°кё°лІ(ґн_), __(¤м№ґґм_), к№±м_(л©_) __: л°±м_(ґн_), л°__(¤м№ґґм_), __кµ() _¬ј: л°±н_(ґн_),  мµ__(¤м№ґґм_) __мІ(л©_), ¤л_() м§: ¤м(ґн_), мµ__л¬(¤м№ґґм_), __(л©_)",,,,,
index,count,name,date,comment,like,,,,
20,1,__л¦¬кѕјк№__,2017 3 25,"__ _¬ґ ¬м·Ё __ __

...к·ёл_ __ ём_л¶__ __ л§__....! pic.twitter.com/g3ASsUqd54","2,912",,,,
21,2,[_]л©__! ґм№ґ,5 14,"ёк___лЎ л°__¤н_кі ______ ___ ґм____ к±°м_ лЁёл¦¬,.,.,__¤м_к±,.,., pic.twitter.com/C1sV9tVErN",513,,,,
22,3,ґн__ЁјкІ°н_мЈјл,5 6,__ __кіµл__ ёк__ё°____ ____ _Ёјјл_ ёл___¤л_ __________________ pic.twitter.com/O8pBUTPgpr,1,,,,
23,4,ём_°м_ °м___,2016 7 17,__ _¬ґ ¬м·Ё__ ______.jpg ______ http://instiz.net/pt/3932612_pic.twitter.com/5HoSpUvvNd,505,,,,
24,5,____,2017 12 30,"2017 ¬л_л¶__ __л§__Ём___......

__ ґл_¤л©ґ  ____ __¤ліґ_..

_µ¬ ____   ____. pic.twitter.com/Dn7oLvpzsu",2,,,,
25,6,flos semita __,2 22,"180222 ґн_ мЅ__ _¦¬л·

#¤л_ґк±ё #__
__ __ pic.twitter.com/TkYNWcvbaU",89,,,,
26,7,мЎґм_____,2__2__ ,________ 1мё м§___ к· ____к° ____ ____ ¬м_к° __јм_ л№____,,,,,
27,8,____,8 5, __ _¬ґ л¶мЎ±н_ __ ёк_ __¤к_ __ ¤м_ лЄЁм_кі__лҐ ¤м_м§ ______ __м§ кі___... к·јл_ м§кё 8__кі ____ Јкё° _¬ґ мґ__ кІ к°_ ґл__?,1,,,,
28,9,[_І°]лі__,6 21,"ёк_ кіјлЄ©  __ ____

<кµ_>
л¬ён_ л°__
л¬ёл_ __
л№_¬ё к№№л¦¬
кµ_ к№__

<__>
__ __
лЇём_л¶2 __
__ __м§

<__>
__ ґл_, мЎ°м_

<_µ­>
_µ­ ґл_м§, мµ__

<¬н__µ¬>
¬л¬ё л°__, мµ__
лІ__ мµ__
__ ґм
_ ґкё°",25,,,,
29,10,ёг_,5 28,"±л_ґл§Ґ __ __ к°__, _µ­ ____  к°__ л¬ґл_ кіµк_ - ґм_ґм_ http://www.newswire.co.kr/newsRead.php?no=869881_",,,,,
30,11,__ELLO__,5 24,"л°__ __кµ__ мІ__лґ¤м_ ±н_лЄ ____
____... pic.twitter.com/VJEglMWcfv",30,,,,
31,12,{л­__ __),5 22,лЁёл¦¬ ____ __ л°__ лЄЁлҐґ__,1,,,,
32,13,LRC__,5 4,кі____  __ л¶__ ___лҐ __ ёк_ к°__ліґл_ к·ёл_ м§¤л°© л¶л¶__л¶ __ ¬м_лЎ   __ кІ к°__,11,,,,
