index,count,name,date,comment,like
37,1,헛소리꾼김시발,2017년 3월 25일,"수학에 너무 심취한 한석원 선생님

...그만 자신을 인수분해 하고 마는데....! pic.twitter.com/g3ASsUqd54","2,909"
38,2,[ ❄]!코난스포있음! 이카,5월 14일,"인간적으로 발디쌤하고 한석원쌤하고 닮앗는데 어케생각하심 거의 대머리랑,.,.,수학쌤인거,.,., pic.twitter.com/C1sV9tVErN",513
39,3,폴린님글읽어,5월 6일,아놔 수학공부하다 인강얘기나왔는데 한석원샘 허먼으로 트레하ㅣ실분 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ pic.twitter.com/O8pBUTPgpr,1
40,4,인스티즈 연예소식,2016년 7월 17일,수학에 너무 심취하신 한석원선생님.jpg ㅋㅋㅋㅋㅋㅋ http://instiz.net/pt/3932612 pic.twitter.com/5HoSpUvvNd,505
41,5,한석원좋아,2017년 12월 30일,"2017년 여러분들 수고많으셨습니다......

수학이 어렵다면 이 한석원을 떠올려보십시오..

누구나 한석원이 될 수 있습니다. pic.twitter.com/Dn7oLvpzsu",2
42,6, ❄️,20시간20시간 전,얔ㅋㅋㅋㅋㅋㅋ오늘 1층 지나가는데 그 한석원인가 유혹하는 수학선생님 포즈가 쟈쿠라이랑 비슷햇음,
43,7,너한 🍤,8월 5일,나 수학이 너무 부족해서 한석원 인강을 끊으려고 했는데 실전 모의고사를 들을지 알파테크닉을 끊을지 고민된다... 근데 지금 8월이고 알파테크닉 듣기엔 너무 촉박한 것 같은데 어떡하지?,1
44,8,[동결]별규,6월 21일,"인강 과목 당 유명한 선생님들

<국어>
문학 박광일
문법 전형태
비문 김승리
국어 김동욱

<수학>
확통 정승제
미적분2 한석원
수학 현우진

<영어>
영어 이명학, 조정식

<한국사>
한국사 이다지, 최태성

<사회탐구>
사문 박봄, 최적
법정 최적
생윤 이지영
한지 이기상",25
45,9,へきる,5월 28일,"대성마이맥 수학 한석원 강사, 전국 수험생에 전 강좌 무료 공개 - 뉴스와이어 http://www.newswire.co.kr/newsRead.php?no=869881 …",
46,10, 🦊ELLO 🦊,5월 24일,"발디의 수학교실 처음봤을땨 딱한명 떠올랏음
한석원쌤... pic.twitter.com/VJEglMWcfv",30
47,11,{뭐하는 놈이야),5월 22일,대머리 수학선생은 한석원 밖에 모르는데,1
48,12,LRC회로,5월 4일,고등학생 안 되신 분들은 한석원T를 수학 인강 강사보다 그냥 짤방 부분적분 아잉 포즈로 더 잘 아시는 것 같아,11
49,13,성준,4월 22일,"인강샘 얘기나와서 추천해보자면
수학:이과 한석원
문과-신승범 현우진
사담좋아하고 슈퍼수포자 정승제
영어: 1등급 이명학
EBS, 2등급이하 전홍철
국어: 문법 방동진
그나마 추천은 박광일
사문 윤리 이지영
지리 이기상
법정 최적
역사 이다지
한국사 사설공짜ㄱㄱ
과탐 이투스ㄱㄱ
화학 박상현",17
50,14,[반 ❄] 닓,2월 26일,"설정만 좀더 풀어보겠습니다 리들은 역시 수학 강사죠 한석원과 신승범, 삽자루를 능가하는 인기를 누릴 것입니다 무엇보다 너무 잘생겻숴. 근데 냉철하게 문제풀이 하는 거 보면 또 보는 사람들 숨 넘어가구요 아 칠판에 필기할 때 와이셔츠 소매 걷어줬으면 좋겠군요! https://twitter.com/_Eka_2017/status/967957949007126528 …",3
51,15,월화전공빌런규,2017년 11월 19일,"현우진 거른다...
역시 수학은 한석원",3
52,16,일하다 죽은 Pt의 시체,2017년 11월 7일,수학은 근데 사관보다는 사설이 나아 한석원 현강교재가 진짜 오지고지리고렛잇곤데 긱사니까 못들을거고...성대 수교과 동아리에서 Epsilon이라고 성대마크 존나크게 찍힌 모의고사 내는데 이거 개어려워 이거 풀어봐,1
53,17,뽀솜,2017년 7월 20일,"어제 하루종일 인수분해 문제만 풀어서 그런지 꿈속에 내 수학선생님이었던 이인수쌤과 인수분해에 심취한 나머지 자신을 인수분해한 한석원쌤 나오심 
ㅋㄱ ㅋㅋㅋ  ㅋㅋㅋ  ㅋㄱ뭔꿈이얔ㅋㅋㄲㄱ pic.twitter.com/DVjbi0YRy7",6
54,18,시프트 / shift*,2017년 7월 2일,"지금, 대한민국 수학은 한석원시대입니다",
