title,comment,date
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,이새끼들 재미로 보는새끼들이 반이상인듯 ㅋㅋ﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,"현우진보다 한석원이 일타인이유

현우진 웃길려함 ㅋㅋ
한석원 그냥 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ﻿",[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,한석원형 눈에서 진짜 레이저나올듯;;이미 머리에서도 나오는데 ㅋㅋ﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,38:13 ㅋㅋㅋㅋㅋ﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,"안녕하십니깐석원입니다 기출 존나게 보세요 징징거리지말고
그러면 21번 30번이 너에게 다가올것이다 뭐머머머머뭐 머라고? 
기출 무!한!반!복! 네 조아용 여러분 수고하셨습니다﻿",[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,"그럴듯하게 공부하지 마라
당연한 사실임을 알고 풀어라﻿",[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,25:15 ㅋㅋㅋㅋㅋㅋㅋㅋ﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,진짜 한석원은 다르다ㅋㅋㅋ 진짜 들을 때마다 시야가 넓어지는 듯﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,"수능 본지 한참지나서 보니까 새롭네
수능에서 10번대 1개 틀리고 실수가 어쩌고 하면서 한동안 난리쳤는데 공대 들어와서 대학시험에서도 실수로 틀리고 자괴감 느끼는중﻿",[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략,ㄹㅇ 28번 그냥 카운팅하면 쉽게 풀리는데 일반항으로 풀면 오히려 더 어려움 개인적으로 ㅈㄴ 쉽게 풀었는데 애들 다 어려워해서 놀람 ㅋㅋ﻿,[대성마이맥]수학 한석원 - 최상위권을 위한 학습 전략
